data,estado,nomeCidade,codigo,casos,mortes
2020-03-29,CE,Morada Nova,230870,0,0
2020-08-13,BA,Itabuna,291480,103,146
2020-11-23,MA,Capinzal do Norte,210275,0,2
2020-05-16,MA,Lago do Junco,210580,0,0
2020-09-03,MG,Amparo do Serra,310250,0,0
2020-05-17,MG,Bela Vista de Minas,310600,0,0
2020-05-27,MG,Piedade de Ponte Nova,315020,0,0
2020-08-23,BA,Mortugaba,292180,0,0
2020-03-27,AL,União dos Palmares,270930,0,0
2020-06-17,MG,Bom Jesus da Penha,310760,0,0
2020-10-17,MG,Nova Belém,314467,0,2
2020-11-12,GO,Mundo Novo,521405,0,2
2020-07-31,MA,São Benedito do Rio Preto,211040,8,5
2020-10-15,GO,Doverlândia,520725,4,2
2020-04-23,GO,Caiapônia,520440,0,0
2020-07-30,MG,Itamonte,313300,0,0
2020-07-05,GO,Palmeiras de Goiás,521570,0,4
2020-11-10,CE,Pedra Branca,231050,-1,33
2020-08-26,BA,Itaeté,291500,1,1
2020-05-30,CE,Varjota,231395,6,2
2020-11-07,MA,Serrano do Maranhão,211178,0,2
2020-09-25,CE,Horizonte,230523,-1,77
2020-10-18,BA,Glória,291140,0,7
2020-08-14,CE,Ibaretama,230526,1,6
2020-09-30,BA,Lajedo do Tabocal,291905,0,0
2020-05-26,GO,Serranópolis,522050,1,0
2020-04-16,BA,Juazeiro,291840,0,0
2020-07-01,MG,Matozinhos,314110,7,0
2020-07-09,BA,Tanhaçu,293100,0,0
2020-03-29,AM,Urucurituba,130440,0,0
2020-12-06,MG,Prudente de Morais,315360,0,2
2020-09-04,ES,Guaçuí,320230,4,18
2020-06-28,BA,Uruçuca,293270,7,14
2020-07-22,CE,Carnaubal,230340,0,3
2020-05-24,CE,Barbalha,230190,0,1
2020-12-08,MG,Buenópolis,310920,0,2
2020-10-06,BA,Itapé,291620,1,10
2020-09-16,BA,Wagner,293340,0,1
2020-09-01,MG,Carrancas,311460,1,0
2020-10-24,GO,Itaguari,521056,6,6
2020-11-29,BA,Itanhém,291600,2,9
2020-11-21,MG,Santa Cruz do Escalvado,315740,1,1
2020-11-23,CE,Icó,230540,2,37
2020-10-19,MG,Capitão Andrade,311265,0,4
2020-06-22,MG,Consolação,311850,0,0
2020-06-05,MG,Carmo do Paranaíba,311430,0,0
2020-05-22,BA,Ribeirão do Largo,292665,0,0
2020-05-25,BA,Marcionílio Souza,292080,1,0
2020-09-19,BA,Dário Meira,291000,0,10
2020-12-05,GO,Cabeceiras,520400,-1,3
2020-10-14,MA,Satubinha,211172,0,1
2020-09-15,GO,Montividiu do Norte,521377,0,2
2020-09-26,AL,Taquarana,270910,0,3
2020-10-04,BA,Angical,290140,0,3
2020-11-11,MA,São Félix de Balsas,211080,0,1
2020-08-30,MG,Curvelo,312090,5,11
2020-10-14,AM,Juruá,130220,0,7
2020-09-15,MA,Presidente Juscelino,210920,0,0
2020-11-15,GO,Silvânia,522060,0,1
2020-07-19,MG,Chiador,311620,0,0
2020-05-05,MG,Mariana,314000,0,1
2020-08-11,BA,Jacaraci,291740,0,0
2020-04-24,BA,Alagoinhas,290070,0,0
2020-07-30,CE,Limoeiro do Norte,230760,23,33
2020-06-13,GO,Palmelo,521580,0,0
2020-05-11,AP,Santana,160060,0,10
2020-06-16,MG,Jeceaba,313540,0,0
2020-04-11,MA,Governador Edison Lobão,210455,0,0
2020-09-10,BA,Santo Antônio de Jesus,292870,22,31
2020-11-10,GO,Cristalina,520620,1,30
2020-04-03,MA,Buriti Bravo,210230,0,0
2020-10-02,GO,Davinópolis,520690,0,0
2020-05-01,MG,Naque,314435,0,0
